lat,lon,object_class,geometry
50.2549478,12.6902169,cooling_tower,POINT (12.6902169 50.2549478)
51.6305743,7.3320900,cooling_tower,POINT (7.33209 51.6305743)
51.3759527,6.7250933,cooling_tower,POINT (6.7250933 51.3759527)
51.3753539,6.7238506,cooling_tower,POINT (6.7238506 51.3753539)
52.3162447,10.0912630,cooling_tower,POINT (10.091263 52.3162447)
51.5785637,6.6851706,cooling_tower,POINT (6.6851706 51.5785637)
40.2960393,29.0717849,cooling_tower,POINT (29.0717849 40.2960393)
40.2948738,29.0763248,cooling_tower,POINT (29.0763248 40.2948738)
52.5346434,13.2391040,cooling_tower,POINT (13.239104 52.5346434)
51.5258868,6.7077333,cooling_tower,POINT (6.7077333 51.5258868)
59.4501576,24.9265604,cooling_tower,POINT (24.9265604 59.4501576)
51.6038502,7.0052585,cooling_tower,POINT (7.0052585 51.6038502)
51.6021600,7.0068072,cooling_tower,POINT (7.0068072 51.60216)
51.6013758,7.0075262,cooling_tower,POINT (7.0075262 51.6013758)
51.6029456,7.0060923,cooling_tower,POINT (7.0060923 51.6029456)
51.6004492,7.0084127,cooling_tower,POINT (7.0084127 51.6004492)
52.0362510,9.4128566,cooling_tower,POINT (9.4128566 52.036251)
50.8397164,6.3229665,cooling_tower,POINT (6.3229665 50.8397164)
50.8396883,6.3249084,cooling_tower,POINT (6.3249084 50.8396883)
50.8396331,6.3268918,cooling_tower,POINT (6.3268918 50.8396331)
53.3698025,-2.6860038,cooling_tower,POINT (-2.6860038 53.3698025)
53.3686106,-2.6857635,cooling_tower,POINT (-2.6857635 53.3686106)
53.3693687,-2.6841767,cooling_tower,POINT (-2.6841767 53.3693687)
53.3705558,-2.6844596,cooling_tower,POINT (-2.6844596 53.3705558)
53.3734021,-2.6908456,cooling_tower,POINT (-2.6908456 53.3734021)
53.3737828,-2.6926819,cooling_tower,POINT (-2.6926819 53.3737828)
53.3745670,-2.6911276,cooling_tower,POINT (-2.6911276 53.374567)
53.3741371,-2.6892823,cooling_tower,POINT (-2.6892823 53.3741371)
47.6019433,8.1852328,cooling_tower,POINT (8.1852328 47.6019433)
54.1427752,12.1328887,cooling_tower,POINT (12.1328887 54.1427752)
50.4208175,13.2623371,cooling_tower,POINT (13.2623371 50.4208175)
50.4208796,13.2643043,cooling_tower,POINT (13.2643043 50.4208796)
50.4209454,13.2664123,cooling_tower,POINT (13.2664123 50.4209454)
50.8024032,4.3005451,cooling_tower,POINT (4.3005451 50.8024032)
-26.1192417,28.1949414,cooling_tower,POINT (28.1949414 -26.1192417)
-26.1189436,28.1962078,cooling_tower,POINT (28.1962078 -26.1189436)
-26.1181426,28.1951281,cooling_tower,POINT (28.1951281 -26.1181426)
-26.1179522,28.1959140,cooling_tower,POINT (28.195914 -26.1179522)
-26.1184064,28.1940266,cooling_tower,POINT (28.1940266 -26.1184064)
-26.1129969,28.1940588,cooling_tower,POINT (28.1940588 -26.1129969)
